kappa,sigma,agent_id,episode_idx,outcome,rescued
0.5,0.1,15,2,TIMEOUT,0
0.5,0.1,15,3,TIMEOUT,0
0.5,0.1,15,4,TIMEOUT,0
0.5,0.1,16,0,TIMEOUT,0
0.5,0.1,16,1,TIMEOUT,0
0.5,0.1,16,2,TIMEOUT,0
0.5,0.1,16,3,TIMEOUT,0
0.5,0.1,16,4,TIMEOUT,0
0.5,0.1,17,0,TIMEOUT,0
0.5,0.1,17,1,PARTNER_DEAD,0
0.5,0.1,17,2,TIMEOUT,0
0.5,0.1,17,3,TIMEOUT,0
0.5,0.1,17,4,TIMEOUT,0
0.5,0.1,18,0,PARTNER_RESCUED,1
0.5,0.1,18,1,TIMEOUT,0
0.5,0.1,18,2,TIMEOUT,0
0.5,0.1,18,3,TIMEOUT,0
0.5,0.1,18,4,TIMEOUT,0
0.5,0.1,19,0,TIMEOUT,0
0.5,0.1,19,1,TIMEOUT,0
0.5,0.1,19,2,TIMEOUT,0
0.5,0.1,19,3,TIMEOUT,0
0.5,0.1,19,4,TIMEOUT,0
0.5,0.1,20,0,TIMEOUT,0
0.5,0.1,20,1,TIMEOUT,0
0.5,0.1,20,2,TIMEOUT,0
0.5,0.1,20,3,RESOURCE_TAKEN,0
0.5,0.1,20,4,PARTNER_DEAD,0
0.5,0.1,21,0,PARTNER_RESCUED,1
0.5,0.1,21,1,TIMEOUT,0
0.5,0.1,21,2,TIMEOUT,0
0.5,0.1,21,3,TIMEOUT,0
0.5,0.1,21,4,RESOURCE_TAKEN,0
0.5,0.1,22,0,TIMEOUT,0
0.5,0.1,22,1,TIMEOUT,0
0.5,0.1,22,2,TIMEOUT,0
0.5,0.1,22,3,TIMEOUT,0
0.5,0.1,22,4,TIMEOUT,0
0.5,0.1,23,0,TIMEOUT,0
0.5,0.1,23,1,TIMEOUT,0
0.5,0.1,23,2,PARTNER_RESCUED,1
0.5,0.1,23,3,TIMEOUT,0
0.5,0.1,23,4,TIMEOUT,0
0.5,0.1,24,0,TIMEOUT,0
0.5,0.1,24,1,RESOURCE_TAKEN,0
0.5,0.1,24,2,TIMEOUT,0
0.5,0.1,24,3,TIMEOUT,0
0.5,0.1,24,4,TIMEOUT,0
0.5,0.2,0,0,TIMEOUT,0
0.5,0.2,0,1,RESOURCE_TAKEN,0
0.5,0.2,0,2,PARTNER_RESCUED,1
0.5,0.2,0,3,TIMEOUT,0
0.5,0.2,0,4,TIMEOUT,0
0.5,0.2,1,0,TIMEOUT,0
0.5,0.2,1,1,TIMEOUT,0
0.5,0.2,1,2,TIMEOUT,0
0.5,0.2,1,3,TIMEOUT,0
0.5,0.2,1,4,TIMEOUT,0
0.5,0.2,2,0,PARTNER_RESCUED,1
0.5,0.2,2,1,TIMEOUT,0
0.5,0.2,2,2,TIMEOUT,0
0.5,0.2,2,3,TIMEOUT,0
0.5,0.2,2,4,PARTNER_DEAD,0
0.5,0.2,3,0,TIMEOUT,0
0.5,0.2,3,1,TIMEOUT,0
0.5,0.2,3,2,TIMEOUT,0
0.5,0.2,3,3,TIMEOUT,0
0.5,0.2,3,4,TIMEOUT,0
0.5,0.2,4,0,TIMEOUT,0
0.5,0.2,4,1,TIMEOUT,0
0.5,0.2,4,2,TIMEOUT,0
0.5,0.2,4,3,TIMEOUT,0
0.5,0.2,4,4,TIMEOUT,0
0.5,0.2,5,0,TIMEOUT,0
0.5,0.2,5,1,TIMEOUT,0
0.5,0.2,5,2,TIMEOUT,0
0.5,0.2,5,3,TIMEOUT,0
0.5,0.2,5,4,RESOURCE_TAKEN,0
0.5,0.2,6,0,PARTNER_RESCUED,1
0.5,0.2,6,1,TIMEOUT,0
0.5,0.2,6,2,TIMEOUT,0
0.5,0.2,6,3,TIMEOUT,0
0.5,0.2,6,4,TIMEOUT,0
0.5,0.2,7,0,TIMEOUT,0
0.5,0.2,7,1,TIMEOUT,0
0.5,0.2,7,2,TIMEOUT,0
0.5,0.2,7,3,TIMEOUT,0
0.5,0.2,7,4,TIMEOUT,0
0.5,0.2,8,0,TIMEOUT,0
0.5,0.2,8,1,TIMEOUT,0
0.5,0.2,8,2,PARTNER_RESCUED,1
0.5,0.2,8,3,TIMEOUT,0
0.5,0.2,8,4,TIMEOUT,0
0.5,0.2,9,0,TIMEOUT,0
0.5,0.2,9,1,TIMEOUT,0
0.5,0.2,9,2,RESOURCE_TAKEN,0
0.5,0.2,9,3,TIMEOUT,0
0.5,0.2,9,4,PARTNER_RESCUED,1
0.5,0.2,10,0,TIMEOUT,0
0.5,0.2,10,1,TIMEOUT,0
0.5,0.2,10,2,TIMEOUT,0
0.5,0.2,10,3,TIMEOUT,0
0.5,0.2,10,4,TIMEOUT,0
0.5,0.2,11,0,TIMEOUT,0
0.5,0.2,11,1,TIMEOUT,0
0.5,0.2,11,2,TIMEOUT,0
0.5,0.2,11,3,TIMEOUT,0
0.5,0.2,11,4,RESOURCE_TAKEN,0
0.5,0.2,12,0,PARTNER_DEAD,0
0.5,0.2,12,1,PARTNER_RESCUED,1
0.5,0.2,12,2,TIMEOUT,0
0.5,0.2,12,3,TIMEOUT,0
0.5,0.2,12,4,TIMEOUT,0
0.5,0.2,13,0,TIMEOUT,0
0.5,0.2,13,1,TIMEOUT,0
0.5,0.2,13,2,TIMEOUT,0
0.5,0.2,13,3,TIMEOUT,0
0.5,0.2,13,4,TIMEOUT,0
0.5,0.2,14,0,PARTNER_RESCUED,1
0.5,0.2,14,1,TIMEOUT,0
0.5,0.2,14,2,TIMEOUT,0
0.5,0.2,14,3,TIMEOUT,0
0.5,0.2,14,4,PARTNER_RESCUED,1
0.5,0.2,15,0,TIMEOUT,0
0.5,0.2,15,1,PARTNER_DEAD,0
0.5,0.2,15,2,PARTNER_RESCUED,1
0.5,0.2,15,3,TIMEOUT,0
0.5,0.2,15,4,TIMEOUT,0
0.5,0.2,16,0,TIMEOUT,0
0.5,0.2,16,1,PARTNER_DEAD,0
0.5,0.2,16,2,PARTNER_RESCUED,1
0.5,0.2,16,3,TIMEOUT,0
0.5,0.2,16,4,TIMEOUT,0
0.5,0.2,17,0,TIMEOUT,0
0.5,0.2,17,1,TIMEOUT,0
0.5,0.2,17,2,TIMEOUT,0
0.5,0.2,17,3,TIMEOUT,0
0.5,0.2,17,4,TIMEOUT,0
0.5,0.2,18,0,TIMEOUT,0
0.5,0.2,18,1,RESOURCE_TAKEN,0
0.5,0.2,18,2,TIMEOUT,0
0.5,0.2,18,3,TIMEOUT,0
0.5,0.2,18,4,TIMEOUT,0
0.5,0.2,19,0,PARTNER_RESCUED,1
0.5,0.2,19,1,TIMEOUT,0
0.5,0.2,19,2,TIMEOUT,0
0.5,0.2,19,3,TIMEOUT,0
0.5,0.2,19,4,TIMEOUT,0
0.5,0.2,20,0,TIMEOUT,0
0.5,0.2,20,1,TIMEOUT,0
0.5,0.2,20,2,TIMEOUT,0
0.5,0.2,20,3,TIMEOUT,0
0.5,0.2,20,4,TIMEOUT,0
0.5,0.2,21,0,TIMEOUT,0
0.5,0.2,21,1,TIMEOUT,0
0.5,0.2,21,2,TIMEOUT,0
0.5,0.2,21,3,TIMEOUT,0
0.5,0.2,21,4,TIMEOUT,0
0.5,0.2,22,0,TIMEOUT,0
0.5,0.2,22,1,RESOURCE_TAKEN,0
0.5,0.2,22,2,TIMEOUT,0
0.5,0.2,22,3,TIMEOUT,0
0.5,0.2,22,4,TIMEOUT,0
0.5,0.2,23,0,TIMEOUT,0
0.5,0.2,23,1,RESOURCE_TAKEN,0
0.5,0.2,23,2,TIMEOUT,0
0.5,0.2,23,3,TIMEOUT,0
0.5,0.2,23,4,TIMEOUT,0
0.5,0.2,24,0,PARTNER_RESCUED,1
0.5,0.2,24,1,RESOURCE_TAKEN,0
0.5,0.2,24,2,TIMEOUT,0
0.5,0.2,24,3,TIMEOUT,0
0.5,0.2,24,4,TIMEOUT,0
0.5,0.4,0,0,PARTNER_RESCUED,1
0.5,0.4,0,1,TIMEOUT,0
0.5,0.4,0,2,PARTNER_DEAD,0
0.5,0.4,0,3,TIMEOUT,0
0.5,0.4,0,4,TIMEOUT,0
0.5,0.4,1,0,TIMEOUT,0
0.5,0.4,1,1,PARTNER_RESCUED,1
0.5,0.4,1,2,PARTNER_RESCUED,1
0.5,0.4,1,3,TIMEOUT,0
0.5,0.4,1,4,RESOURCE_TAKEN,0
0.5,0.4,2,0,TIMEOUT,0
0.5,0.4,2,1,PARTNER_RESCUED,1
0.5,0.4,2,2,TIMEOUT,0
0.5,0.4,2,3,TIMEOUT,0
0.5,0.4,2,4,TIMEOUT,0
0.5,0.4,3,0,PARTNER_RESCUED,1
0.5,0.4,3,1,TIMEOUT,0
0.5,0.4,3,2,TIMEOUT,0
0.5,0.4,3,3,TIMEOUT,0
0.5,0.4,3,4,TIMEOUT,0
0.5,0.4,4,0,TIMEOUT,0
0.5,0.4,4,1,TIMEOUT,0
0.5,0.4,4,2,TIMEOUT,0
0.5,0.4,4,3,TIMEOUT,0
0.5,0.4,4,4,TIMEOUT,0
0.5,0.4,5,0,PARTNER_RESCUED,1
0.5,0.4,5,1,TIMEOUT,0
0.5,0.4,5,2,TIMEOUT,0
0.5,0.4,5,3,TIMEOUT,0
0.5,0.4,5,4,PARTNER_RESCUED,1
0.5,0.4,6,0,PARTNER_RESCUED,1
0.5,0.4,6,1,TIMEOUT,0
0.5,0.4,6,2,TIMEOUT,0
0.5,0.4,6,3,TIMEOUT,0
0.5,0.4,6,4,TIMEOUT,0
0.5,0.4,7,0,TIMEOUT,0
0.5,0.4,7,1,TIMEOUT,0
0.5,0.4,7,2,TIMEOUT,0
0.5,0.4,7,3,TIMEOUT,0
0.5,0.4,7,4,TIMEOUT,0
0.5,0.4,8,0,TIMEOUT,0
0.5,0.4,8,1,TIMEOUT,0
0.5,0.4,8,2,TIMEOUT,0
0.5,0.4,8,3,TIMEOUT,0
0.5,0.4,8,4,TIMEOUT,0
0.5,0.4,9,0,TIMEOUT,0
0.5,0.4,9,1,TIMEOUT,0
0.5,0.4,9,2,TIMEOUT,0
0.5,0.4,9,3,TIMEOUT,0
0.5,0.4,9,4,TIMEOUT,0
0.5,0.4,10,0,TIMEOUT,0
0.5,0.4,10,1,TIMEOUT,0
0.5,0.4,10,2,RESOURCE_TAKEN,0
0.5,0.4,10,3,TIMEOUT,0
0.5,0.4,10,4,TIMEOUT,0
0.5,0.4,11,0,TIMEOUT,0
0.5,0.4,11,1,TIMEOUT,0
0.5,0.4,11,2,TIMEOUT,0
0.5,0.4,11,3,PARTNER_RESCUED,1
0.5,0.4,11,4,PARTNER_DEAD,0
0.5,0.4,12,0,PARTNER_RESCUED,1
0.5,0.4,12,1,TIMEOUT,0
0.5,0.4,12,2,TIMEOUT,0
0.5,0.4,12,3,TIMEOUT,0
0.5,0.4,12,4,TIMEOUT,0
0.5,0.4,13,0,PARTNER_RESCUED,1
0.5,0.4,13,1,TIMEOUT,0
0.5,0.4,13,2,TIMEOUT,0
0.5,0.4,13,3,TIMEOUT,0
0.5,0.4,13,4,TIMEOUT,0
0.5,0.4,14,0,PARTNER_RESCUED,1
0.5,0.4,14,1,TIMEOUT,0
0.5,0.4,14,2,TIMEOUT,0
0.5,0.4,14,3,TIMEOUT,0
0.5,0.4,14,4,TIMEOUT,0
0.5,0.4,15,0,TIMEOUT,0
0.5,0.4,15,1,TIMEOUT,0
0.5,0.4,15,2,PARTNER_RESCUED,1
0.5,0.4,15,3,TIMEOUT,0
0.5,0.4,15,4,TIMEOUT,0
0.5,0.4,16,0,TIMEOUT,0
0.5,0.4,16,1,TIMEOUT,0
0.5,0.4,16,2,TIMEOUT,0
0.5,0.4,16,3,TIMEOUT,0
0.5,0.4,16,4,TIMEOUT,0
0.5,0.4,17,0,PARTNER_RESCUED,1
0.5,0.4,17,1,TIMEOUT,0
0.5,0.4,17,2,TIMEOUT,0
0.5,0.4,17,3,TIMEOUT,0
0.5,0.4,17,4,TIMEOUT,0
0.5,0.4,18,0,TIMEOUT,0
0.5,0.4,18,1,TIMEOUT,0
0.5,0.4,18,2,TIMEOUT,0
0.5,0.4,18,3,TIMEOUT,0
0.5,0.4,18,4,TIMEOUT,0
0.5,0.4,19,0,TIMEOUT,0
0.5,0.4,19,1,TIMEOUT,0
0.5,0.4,19,2,TIMEOUT,0
0.5,0.4,19,3,TIMEOUT,0
0.5,0.4,19,4,TIMEOUT,0
0.5,0.4,20,0,TIMEOUT,0
0.5,0.4,20,1,TIMEOUT,0
0.5,0.4,20,2,TIMEOUT,0
0.5,0.4,20,3,TIMEOUT,0
0.5,0.4,20,4,TIMEOUT,0
0.5,0.4,21,0,PARTNER_DEAD,0
0.5,0.4,21,1,TIMEOUT,0
0.5,0.4,21,2,PARTNER_RESCUED,1
0.5,0.4,21,3,TIMEOUT,0
0.5,0.4,21,4,TIMEOUT,0
0.5,0.4,22,0,TIMEOUT,0
0.5,0.4,22,1,RESOURCE_TAKEN,0
0.5,0.4,22,2,TIMEOUT,0
0.5,0.4,22,3,TIMEOUT,0
0.5,0.4,22,4,TIMEOUT,0
0.5,0.4,23,0,TIMEOUT,0
0.5,0.4,23,1,TIMEOUT,0
0.5,0.4,23,2,TIMEOUT,0
0.5,0.4,23,3,TIMEOUT,0
0.5,0.4,23,4,TIMEOUT,0
0.5,0.4,24,0,TIMEOUT,0
0.5,0.4,24,1,TIMEOUT,0
0.5,0.4,24,2,TIMEOUT,0
0.5,0.4,24,3,PARTNER_RESCUED,1
0.5,0.4,24,4,TIMEOUT,0
1.0,0.0,0,0,TIMEOUT,0
1.0,0.0,0,1,TIMEOUT,0
1.0,0.0,0,2,TIMEOUT,0
1.0,0.0,0,3,TIMEOUT,0
1.0,0.0,0,4,RESOURCE_TAKEN,0
1.0,0.0,1,0,PARTNER_RESCUED,1
1.0,0.0,1,1,TIMEOUT,0
1.0,0.0,1,2,TIMEOUT,0
1.0,0.0,1,3,TIMEOUT,0
1.0,0.0,1,4,TIMEOUT,0
1.0,0.0,2,0,PARTNER_RESCUED,1
1.0,0.0,2,1,PARTNER_RESCUED,1
1.0,0.0,2,2,TIMEOUT,0
1.0,0.0,2,3,TIMEOUT,0
1.0,0.0,2,4,TIMEOUT,0
1.0,0.0,3,0,PARTNER_RESCUED,1
1.0,0.0,3,1,TIMEOUT,0
1.0,0.0,3,2,TIMEOUT,0
1.0,0.0,3,3,TIMEOUT,0
1.0,0.0,3,4,TIMEOUT,0
1.0,0.0,4,0,PARTNER_RESCUED,1
1.0,0.0,4,1,PARTNER_RESCUED,1
1.0,0.0,4,2,TIMEOUT,0
1.0,0.0,4,3,TIMEOUT,0
1.0,0.0,4,4,RESOURCE_TAKEN,0
1.0,0.0,5,0,PARTNER_RESCUED,1
1.0,0.0,5,1,TIMEOUT,0
1.0,0.0,5,2,TIMEOUT,0
1.0,0.0,5,3,TIMEOUT,0
1.0,0.0,5,4,RESOURCE_TAKEN,0
1.0,0.0,6,0,TIMEOUT,0
1.0,0.0,6,1,TIMEOUT,0
1.0,0.0,6,2,TIMEOUT,0
1.0,0.0,6,3,TIMEOUT,0
1.0,0.0,6,4,TIMEOUT,0
1.0,0.0,7,0,PARTNER_RESCUED,1
1.0,0.0,7,1,TIMEOUT,0
1.0,0.0,7,2,TIMEOUT,0
1.0,0.0,7,3,TIMEOUT,0
1.0,0.0,7,4,TIMEOUT,0
1.0,0.0,8,0,TIMEOUT,0
1.0,0.0,8,1,TIMEOUT,0
1.0,0.0,8,2,TIMEOUT,0
1.0,0.0,8,3,TIMEOUT,0
1.0,0.0,8,4,TIMEOUT,0
1.0,0.0,9,0,PARTNER_RESCUED,1
1.0,0.0,9,1,TIMEOUT,0
1.0,0.0,9,2,TIMEOUT,0
1.0,0.0,9,3,TIMEOUT,0
1.0,0.0,9,4,TIMEOUT,0
1.0,0.0,10,0,PARTNER_RESCUED,1
1.0,0.0,10,1,PARTNER_RESCUED,1
1.0,0.0,10,2,PARTNER_RESCUED,1
1.0,0.0,10,3,TIMEOUT,0
1.0,0.0,10,4,TIMEOUT,0
1.0,0.0,11,0,PARTNER_RESCUED,1
1.0,0.0,11,1,TIMEOUT,0
1.0,0.0,11,2,TIMEOUT,0
1.0,0.0,11,3,TIMEOUT,0
1.0,0.0,11,4,TIMEOUT,0
1.0,0.0,12,0,PARTNER_RESCUED,1
1.0,0.0,12,1,TIMEOUT,0
1.0,0.0,12,2,TIMEOUT,0
1.0,0.0,12,3,TIMEOUT,0
1.0,0.0,12,4,TIMEOUT,0
1.0,0.0,13,0,PARTNER_RESCUED,1
1.0,0.0,13,1,TIMEOUT,0
1.0,0.0,13,2,TIMEOUT,0
1.0,0.0,13,3,TIMEOUT,0
1.0,0.0,13,4,TIMEOUT,0
1.0,0.0,14,0,TIMEOUT,0
1.0,0.0,14,1,TIMEOUT,0
1.0,0.0,14,2,TIMEOUT,0
1.0,0.0,14,3,TIMEOUT,0
1.0,0.0,14,4,TIMEOUT,0
1.0,0.0,15,0,PARTNER_RESCUED,1
1.0,0.0,15,1,TIMEOUT,0
1.0,0.0,15,2,TIMEOUT,0
1.0,0.0,15,3,TIMEOUT,0
1.0,0.0,15,4,TIMEOUT,0
1.0,0.0,16,0,PARTNER_RESCUED,1
1.0,0.0,16,1,PARTNER_RESCUED,1
1.0,0.0,16,2,TIMEOUT,0
1.0,0.0,16,3,TIMEOUT,0
1.0,0.0,16,4,TIMEOUT,0
1.0,0.0,17,0,PARTNER_RESCUED,1
1.0,0.0,17,1,PARTNER_RESCUED,1
1.0,0.0,17,2,TIMEOUT,0
1.0,0.0,17,3,TIMEOUT,0
1.0,0.0,17,4,TIMEOUT,0
1.0,0.0,18,0,TIMEOUT,0
1.0,0.0,18,1,TIMEOUT,0
1.0,0.0,18,2,TIMEOUT,0
1.0,0.0,18,3,TIMEOUT,0
1.0,0.0,18,4,TIMEOUT,0
1.0,0.0,19,0,PARTNER_RESCUED,1
1.0,0.0,19,1,TIMEOUT,0
1.0,0.0,19,2,TIMEOUT,0
1.0,0.0,19,3,TIMEOUT,0
1.0,0.0,19,4,TIMEOUT,0
1.0,0.0,20,0,PARTNER_RESCUED,1
1.0,0.0,20,1,TIMEOUT,0
1.0,0.0,20,2,TIMEOUT,0
1.0,0.0,20,3,TIMEOUT,0
1.0,0.0,20,4,TIMEOUT,0
1.0,0.0,21,0,TIMEOUT,0
1.0,0.0,21,1,TIMEOUT,0
1.0,0.0,21,2,TIMEOUT,0
1.0,0.0,21,3,TIMEOUT,0
1.0,0.0,21,4,TIMEOUT,0
1.0,0.0,22,0,PARTNER_RESCUED,1
1.0,0.0,22,1,TIMEOUT,0
1.0,0.0,22,2,TIMEOUT,0
1.0,0.0,22,3,TIMEOUT,0
1.0,0.0,22,4,TIMEOUT,0
1.0,0.0,23,0,PARTNER_RESCUED,1
1.0,0.0,23,1,TIMEOUT,0
1.0,0.0,23,2,TIMEOUT,0
1.0,0.0,23,3,TIMEOUT,0
1.0,0.0,23,4,TIMEOUT,0
1.0,0.0,24,0,PARTNER_RESCUED,1
1.0,0.0,24,1,TIMEOUT,0
1.0,0.0,24,2,TIMEOUT,0
1.0,0.0,24,3,TIMEOUT,0
1.0,0.0,24,4,TIMEOUT,0
1.0,0.1,0,0,PARTNER_RESCUED,1
1.0,0.1,0,1,PARTNER_RESCUED,1
1.0,0.1,0,2,TIMEOUT,0
1.0,0.1,0,3,TIMEOUT,0
1.0,0.1,0,4,TIMEOUT,0
1.0,0.1,1,0,TIMEOUT,0
1.0,0.1,1,1,TIMEOUT,0
1.0,0.1,1,2,PARTNER_RESCUED,1
1.0,0.1,1,3,PARTNER_DEAD,0
1.0,0.1,1,4,PARTNER_RESCUED,1
1.0,0.1,2,0,PARTNER_RESCUED,1
1.0,0.1,2,1,PARTNER_RESCUED,1
1.0,0.1,2,2,TIMEOUT,0
1.0,0.1,2,3,TIMEOUT,0
1.0,0.1,2,4,PARTNER_RESCUED,1
1.0,0.1,3,0,TIMEOUT,0
1.0,0.1,3,1,RESOURCE_TAKEN,0
1.0,0.1,3,2,PARTNER_RESCUED,1
1.0,0.1,3,3,PARTNER_RESCUED,1
1.0,0.1,3,4,PARTNER_RESCUED,1
1.0,0.1,4,0,PARTNER_RESCUED,1
1.0,0.1,4,1,PARTNER_RESCUED,1
1.0,0.1,4,2,TIMEOUT,0
1.0,0.1,4,3,TIMEOUT,0
1.0,0.1,4,4,TIMEOUT,0
1.0,0.1,5,0,PARTNER_RESCUED,1
1.0,0.1,5,1,TIMEOUT,0
1.0,0.1,5,2,RESOURCE_TAKEN,0
1.0,0.1,5,3,TIMEOUT,0
1.0,0.1,5,4,TIMEOUT,0
1.0,0.1,6,0,TIMEOUT,0
1.0,0.1,6,1,TIMEOUT,0
1.0,0.1,6,2,TIMEOUT,0
1.0,0.1,6,3,PARTNER_RESCUED,1
1.0,0.1,6,4,TIMEOUT,0
1.0,0.1,7,0,TIMEOUT,0
1.0,0.1,7,1,PARTNER_RESCUED,1
1.0,0.1,7,2,PARTNER_RESCUED,1
1.0,0.1,7,3,TIMEOUT,0
1.0,0.1,7,4,TIMEOUT,0
1.0,0.1,8,0,PARTNER_RESCUED,1
1.0,0.1,8,1,PARTNER_RESCUED,1
1.0,0.1,8,2,TIMEOUT,0
1.0,0.1,8,3,PARTNER_RESCUED,1
1.0,0.1,8,4,PARTNER_RESCUED,1
1.0,0.1,9,0,PARTNER_RESCUED,1
1.0,0.1,9,1,TIMEOUT,0
1.0,0.1,9,2,TIMEOUT,0
1.0,0.1,9,3,PARTNER_RESCUED,1
1.0,0.1,9,4,TIMEOUT,0
1.0,0.1,10,0,PARTNER_RESCUED,1
1.0,0.1,10,1,TIMEOUT,0
1.0,0.1,10,2,PARTNER_RESCUED,1
1.0,0.1,10,3,TIMEOUT,0
1.0,0.1,10,4,PARTNER_RESCUED,1
1.0,0.1,11,0,PARTNER_RESCUED,1
1.0,0.1,11,1,PARTNER_RESCUED,1
1.0,0.1,11,2,TIMEOUT,0
1.0,0.1,11,3,TIMEOUT,0
1.0,0.1,11,4,TIMEOUT,0
1.0,0.1,12,0,TIMEOUT,0
1.0,0.1,12,1,PARTNER_RESCUED,1
1.0,0.1,12,2,PARTNER_RESCUED,1
1.0,0.1,12,3,TIMEOUT,0
1.0,0.1,12,4,TIMEOUT,0
1.0,0.1,13,0,PARTNER_RESCUED,1
1.0,0.1,13,1,TIMEOUT,0
1.0,0.1,13,2,TIMEOUT,0
1.0,0.1,13,3,TIMEOUT,0
1.0,0.1,13,4,TIMEOUT,0
1.0,0.1,14,0,PARTNER_RESCUED,1
1.0,0.1,14,1,PARTNER_DEAD,0
1.0,0.1,14,2,PARTNER_RESCUED,1
1.0,0.1,14,3,PARTNER_RESCUED,1
1.0,0.1,14,4,TIMEOUT,0
1.0,0.1,15,0,PARTNER_RESCUED,1
1.0,0.1,15,1,PARTNER_RESCUED,1
1.0,0.1,15,2,TIMEOUT,0
1.0,0.1,15,3,TIMEOUT,0
1.0,0.1,15,4,PARTNER_RESCUED,1
1.0,0.1,16,0,TIMEOUT,0
1.0,0.1,16,1,TIMEOUT,0
1.0,0.1,16,2,TIMEOUT,0
1.0,0.1,16,3,PARTNER_RESCUED,1
1.0,0.1,16,4,PARTNER_RESCUED,1
1.0,0.1,17,0,PARTNER_RESCUED,1
1.0,0.1,17,1,PARTNER_RESCUED,1
1.0,0.1,17,2,TIMEOUT,0
1.0,0.1,17,3,TIMEOUT,0
1.0,0.1,17,4,TIMEOUT,0
1.0,0.1,18,0,TIMEOUT,0
1.0,0.1,18,1,TIMEOUT,0
1.0,0.1,18,2,TIMEOUT,0
1.0,0.1,18,3,TIMEOUT,0
1.0,0.1,18,4,TIMEOUT,0
1.0,0.1,19,0,PARTNER_RESCUED,1
1.0,0.1,19,1,TIMEOUT,0
1.0,0.1,19,2,TIMEOUT,0
1.0,0.1,19,3,TIMEOUT,0
1.0,0.1,19,4,TIMEOUT,0
1.0,0.1,20,0,TIMEOUT,0
1.0,0.1,20,1,TIMEOUT,0
1.0,0.1,20,2,TIMEOUT,0
1.0,0.1,20,3,PARTNER_RESCUED,1
1.0,0.1,20,4,PARTNER_RESCUED,1
1.0,0.1,21,0,PARTNER_RESCUED,1
1.0,0.1,21,1,TIMEOUT,0
1.0,0.1,21,2,TIMEOUT,0
1.0,0.1,21,3,TIMEOUT,0
1.0,0.1,21,4,TIMEOUT,0
1.0,0.1,22,0,PARTNER_RESCUED,1
1.0,0.1,22,1,TIMEOUT,0
1.0,0.1,22,2,PARTNER_RESCUED,1
1.0,0.1,22,3,PARTNER_RESCUED,1
1.0,0.1,22,4,PARTNER_RESCUED,1
1.0,0.1,23,0,PARTNER_RESCUED,1
1.0,0.1,23,1,PARTNER_DEAD,0
1.0,0.1,23,2,PARTNER_RESCUED,1
1.0,0.1,23,3,PARTNER_RESCUED,1
1.0,0.1,23,4,TIMEOUT,0
1.0,0.1,24,0,PARTNER_RESCUED,1
1.0,0.1,24,1,PARTNER_DEAD,0
1.0,0.1,24,2,TIMEOUT,0
1.0,0.1,24,3,TIMEOUT,0
1.0,0.1,24,4,PARTNER_DEAD,0
1.0,0.2,0,0,PARTNER_RESCUED,1
1.0,0.2,0,1,TIMEOUT,0
1.0,0.2,0,2,PARTNER_RESCUED,1
1.0,0.2,0,3,TIMEOUT,0
1.0,0.2,0,4,TIMEOUT,0
1.0,0.2,1,0,PARTNER_RESCUED,1
1.0,0.2,1,1,TIMEOUT,0
1.0,0.2,1,2,TIMEOUT,0
1.0,0.2,1,3,TIMEOUT,0
1.0,0.2,1,4,PARTNER_RESCUED,1
1.0,0.2,2,0,PARTNER_RESCUED,1
1.0,0.2,2,1,PARTNER_RESCUED,1
1.0,0.2,2,2,TIMEOUT,0
1.0,0.2,2,3,PARTNER_RESCUED,1
1.0,0.2,2,4,TIMEOUT,0
1.0,0.2,3,0,PARTNER_RESCUED,1
1.0,0.2,3,1,PARTNER_RESCUED,1
1.0,0.2,3,2,TIMEOUT,0
1.0,0.2,3,3,TIMEOUT,0
1.0,0.2,3,4,TIMEOUT,0
1.0,0.2,4,0,PARTNER_RESCUED,1
1.0,0.2,4,1,PARTNER_RESCUED,1
1.0,0.2,4,2,TIMEOUT,0
1.0,0.2,4,3,TIMEOUT,0
1.0,0.2,4,4,TIMEOUT,0
1.0,0.2,5,0,PARTNER_RESCUED,1
1.0,0.2,5,1,PARTNER_RESCUED,1
1.0,0.2,5,2,TIMEOUT,0
1.0,0.2,5,3,TIMEOUT,0
1.0,0.2,5,4,TIMEOUT,0
1.0,0.2,6,0,PARTNER_RESCUED,1
1.0,0.2,6,1,TIMEOUT,0
1.0,0.2,6,2,PARTNER_RESCUED,1
1.0,0.2,6,3,PARTNER_RESCUED,1
1.0,0.2,6,4,PARTNER_RESCUED,1
1.0,0.2,7,0,TIMEOUT,0
1.0,0.2,7,1,TIMEOUT,0
1.0,0.2,7,2,TIMEOUT,0
1.0,0.2,7,3,TIMEOUT,0
1.0,0.2,7,4,TIMEOUT,0
1.0,0.2,8,0,PARTNER_DEAD,0
1.0,0.2,8,1,PARTNER_RESCUED,1
1.0,0.2,8,2,PARTNER_RESCUED,1
1.0,0.2,8,3,TIMEOUT,0
1.0,0.2,8,4,TIMEOUT,0
1.0,0.2,9,0,TIMEOUT,0
1.0,0.2,9,1,TIMEOUT,0
1.0,0.2,9,2,TIMEOUT,0
1.0,0.2,9,3,PARTNER_RESCUED,1
1.0,0.2,9,4,PARTNER_RESCUED,1
1.0,0.2,10,0,PARTNER_RESCUED,1
1.0,0.2,10,1,TIMEOUT,0
1.0,0.2,10,2,PARTNER_DEAD,0
1.0,0.2,10,3,PARTNER_RESCUED,1
1.0,0.2,10,4,PARTNER_RESCUED,1
1.0,0.2,11,0,PARTNER_RESCUED,1
